dob,firstName,height,playerId,lastName,nickname,positionGroupType
1998-03-23,Przemyslaw,178.0,5110,Placheta,Przemyslaw Placheta,LW
1997-05-06,Francisco,192.0,5118,Sierralta,Francisco Sierralta,RCB
2001-09-28,Mattie,190.0,5119,Pollock,Mattie Pollock,RCB
1999-05-01,Imrân,178.0,5121,Louza,Imrân Louza,CM
1993-09-30,Ken,180.0,5125,Sema,Ken Sema,LW
2003-01-27,Kwadwo,182.0,5126,Baah,Kwadwo Baah,LW
2000-02-20,Josh,185.0,5135,Sargent,Josh Sargent,CF
2002-04-30,Teden,186.0,5151,Mengi,Teden Mengi,RCB
2002-01-26,Sam,180.0,5161,Greenwood,Sam Greenwood,AM
1996-01-18,Ivo,195.0,5199,Grbic,Ivo Grbic,GK
2002-05-10,Haydon,184.0,5214,Roberts,Haydon Roberts,LB
1995-09-23,Connor,175.0,6018,Roberts,Connor Roberts,RB
2001-01-05,Ellis Reco,191.0,6054,Simms,Ellis Reco Simms,CF
2002-10-10,James,197.0,6056,Trafford,James Trafford,GK
2001-08-20,Dilan,167.0,6087,Markanday,Dilan Markanday,RW
2003-01-03,Lewis,175.0,6571,Dobbin,Lewis Dobbin,LW
2001-11-23,James,183.0,6807,Morris,James Morris,LB
2001-01-17,Aji,192.0,6836,Alese,Aji Alese,LCB
1995-02-13,Alex,177.0,6899,Mowatt,Alex Mowatt,CM
2003-07-25,Tom,183.0,6901,Fellows,Tom Fellows,RM
2000-03-12,Thomas,189.0,6907,Holmes,Thomas Holmes,RCB
1995-05-06,Josh,188.0,6908,Laurent,Josh Laurent,CM
1994-11-23,Timothy,193.0,6919,Dieng,Timothy Dieng,GK
1996-03-03,Robert,191.0,6921,Dickie,Robert Dickie,RCB
1999-05-02,Andre,178.0,6922,Dozzell,Andre Dozzell,CM
1998-01-31,Chris,178.0,6924,Willock,Chris Willock,LW
1993-04-12,Jordan,190.0,6928,Archer,Jordan Archer,GK
1992-07-17,Adam,185.0,6930,Davies,Adam Davies,GK
1990-09-21,Danny,191.0,6931,Batth,Danny Batth,RCB
1999-05-22,Josh,180.0,6933,Tymon,Josh Tymon,LB
1992-01-30,Tom,178.0,6940,Ince,Tom Ince,RW
1999-12-21,Alfie,183.0,6943,Doughty,Alfie Doughty,LM
1995-02-03,Jake,199.0,6947,Cooper,Jake Cooper,LCB
1990-11-23,Shaun,188.0,6949,Hutchinson,Shaun Hutchinson,RCB
1998-12-27,Dan,180.0,6954,McNamara,Dan McNamara,RB
1992-07-27,Tom,178.0,6955,Bradshaw,Tom Bradshaw,CF
1993-06-01,George,176.0,6959,Saville,George Saville,CM
1993-11-05,George,,6962,Long,George Long,GK
1994-08-04,Kristian,189.0,6965,Pedersen,Kristian Pedersen,LB
1998-11-02,Riley,178.0,6967,McGree,Riley McGree,CM
1996-10-27,Anfernee,183.0,6981,Dijksteel,Anfernee Dijksteel,RB
1988-05-21,Jonathan,180.0,6984,Howson,Jonathan Howson,CM
1999-06-26,Isaiah,176.0,6985,Jones,Isaiah Jones,RW
1994-03-08,Duncan,175.0,6986,Watmore,Duncan Watmore,RW
1994-07-21,Jamal,183.0,6998,Lowe,Jamal Lowe,CF
1995-06-09,Ethan,195.0,7015,Horvath,Ethan Horvath,GK
1996-11-13,Sean,191.0,7017,McLoughlin,Sean McLoughlin,LCB
2000-10-14,Di'Shon,188.0,7019,Bernard,Di'Shon Bernard,RCB
1994-09-08,George,173.0,7022,Honeyman,George Honeyman,AM
1995-01-27,Callum,180.0,7028,Elder,Callum Elder,LB
1993-12-18,Matt,191.0,7033,Ingram,Matt Ingram,GK
1998-03-12,Callum,179.0,7038,Brittain,Callum Brittain,RB
1995-05-10,Devante,184.0,7041,Cole,Devante Cole,CF
1996-09-22,Matthew,185.0,7048,Clarke,Matthew Clarke,LCB
1999-10-22,Jordan,179.0,7049,Williams,Jordan Williams,RB
1995-06-23,John,182.0,7098,Swift,John Swift,CM
2000-09-18,Max,183.0,7104,Bird,Max Bird,DM
1989-02-24,Craig,189.0,7108,Forsyth,Craig Forsyth,LB
2001-02-13,Jason,173.0,7111,Knight,Jason Knight,AM
2002-04-29,Liam,,7117,Thompson,Liam Thompson,DM
1999-12-03,Brandon,174.0,7137,Fleming,Brandon Fleming,LB
1999-09-11,Tyrese,185.0,7167,Fornah,Tyrese Fornah,CM
1994-11-06,Duane,173.0,7177,Holmes,Duane Holmes,AM
1996-10-10,Max,189.0,7185,O'Leary,Max O'Leary,GK
1997-05-14,Zak,187.0,7187,Vyner,Zak Vyner,RCB
1998-01-22,Cameron,185.0,7188,Pring,Cameron Pring,LB
1999-11-16,George,181.0,7189,Tanner,George Tanner,RB
1995-04-23,Callum,180.0,7193,O'Dowda,Callum O'Dowda,LM
1991-08-05,Andreas,179.0,7194,Weimann,Andreas Weimann,AM
2001-07-07,Han-Noah,178.0,7197,Massengo,Han-Noah Massengo,DM
1998-04-22,Jay,170.0,7199,Dasilva,Jay Dasilva,LB
1990-06-01,Nahki,170.0,7200,Wells,Nahki Wells,CF
1995-10-07,Lyndon,188.0,7204,Dykes,Lyndon Dykes,CF
2001-11-09,Eiran,184.0,7226,Cashin,Eiran Cashin,LCB
2001-09-13,Louie,183.0,7228,Sibley,Louie Sibley,CM
2002-01-15,Pierre,189.0,7231,Ekwah,Pierre Ekwah,DM
2002-12-16,Liam,178.0,7232,Gibbs,Liam Gibbs,CM
1998-06-03,Edo,183.0,7239,Kayembe,Edo Kayembe,DM
1991-06-16,James,185.0,7243,Shea,James Shea,GK
1992-02-18,Kal,186.0,7244,Naismith,Kal Naismith,RCB
1991-09-13,Sonny,193.0,7245,Bradley,Sonny Bradley,LCB
1994-03-22,Pelly-Ruddock,175.0,7248,Mpanzu,Pelly-Ruddock Mpanzu,DM
1994-05-05,Amari'i,180.0,7249,Bell,Amari'i Bell,LB
1998-01-07,Elijah,193.0,7250,Adebayo,Elijah Adebayo,CF
2000-01-26,Ryan,183.0,7265,Giles,Ryan Giles,LB
2005-09-23,Jobe,188.0,7306,Bellingham,Jobe Bellingham,AM
1999-09-11,Regan,171.0,7307,Slater,Regan Slater,CM
1992-06-05,Andrew,188.0,7310,Hughes,Andrew Hughes,LCB
1995-04-15,Alan,179.0,7312,Browne,Alan Browne,CM
1996-06-17,Benjamin,185.0,7313,Whiteman,Benjamin Whiteman,CM
1992-10-08,Daniel,174.0,7314,Johnson,Daniel Johnson,AM
1993-07-04,Tom,175.0,7315,Barkhuizen,Tom Barkhuizen,LW
1994-07-03,Brad,188.0,7316,Potts,Brad Potts,RB
1998-06-24,Emil,190.0,7318,Riis,Emil Riis,CF
1995-10-12,Liam,191.0,7320,Lindsay,Liam Lindsay,RCB
1992-10-23,Thomas,190.0,7328,Kaminski,Thomas Kaminski,GK
1999-10-13,John,173.0,7331,Buckley,John Buckley,CM
1995-01-11,Joe,185.0,7332,Rothwell,Joe Rothwell,CM
1999-07-26,Joe,183.0,7334,Rankin-Costello,Joe Rankin-Costello,RB
1998-04-23,Aynsley,185.0,7342,Pears,Aynsley Pears,GK
1997-04-21,Andy,175.0,7344,Rinomhota,Andy Rinomhota,CM
1999-08-15,Peter,183.0,7349,Kioso,Peter Kioso,RB
2002-04-01,Joe,193.0,7395,Walsh,Joe Walsh,GK
1988-11-17,Kyle,181.0,7397,Naughton,Kyle Naughton,RB
2000-05-30,Ben,186.0,7399,Cabango,Ben Cabango,RCB
1995-07-15,Matt,178.0,7400,Grimes,Matt Grimes,DM
2000-01-06,Joel,180.0,7402,Latibeaudiere,Joel Latibeaudiere,RCB
1999-08-02,Joël,185.0,7403,Piroe,Joël Piroe,CF
1994-04-01,Jay,185.0,7405,Fulton,Jay Fulton,CM
2002-12-09,Azeem,,7406,Abdulai,Azeem Abdulai,DM
1997-01-03,Jordan,180.0,7412,Thompson,Jordan Thompson,CM
1988-04-04,Frank,185.0,7413,Fielding,Frank Fielding,GK
1996-11-24,Jordan,181.0,7415,Thorniley,Jordan Thorniley,LCB
2003-09-04,Malcolm,185.0,7420,Ebiowei,Malcolm Ebiowei,RW
1996-06-24,Perry,180.0,7425,Ng,Perry Ng,RB
1993-10-12,Joe,178.0,7426,Ralls,Joe Ralls,CM
1993-09-13,Will,180.0,7428,Vaulks,Will Vaulks,DM
2001-09-03,Joel,188.0,7431,Bagan,Joel Bagan,LB
1991-03-25,Marlon,188.0,7432,Pack,Marlon Pack,CM
1990-12-01,James,188.0,7433,Collins,James Collins,CF
1998-11-07,Delano,186.0,7439,Burgzorg,Delano Burgzorg,LW
1999-03-26,Anel,190.0,7578,Ahmedhodzic,Anel Ahmedhodzic,RCB
1997-10-07,Alfie,191.0,7594,Jones,Alfie Jones,RCB
1995-10-15,Lewie,173.0,7595,Coyle,Lewie Coyle,RB
1997-08-19,Ryan,178.0,7599,Ledson,Ryan Ledson,CM
2003-06-17,Finley,196.0,7601,Burns,Finley Burns,RCB
1997-10-16,Lewis,183.0,7602,Travis,Lewis Travis,DM
1997-12-04,Ryan,183.0,7603,Nyambe,Ryan Nyambe,RB
1995-07-08,Ryan,185.0,7604,Hedges,Ryan Hedges,RW
1991-03-28,David,186.0,7615,Cornell,David Cornell,GK
2002-01-12,Harrison,180.0,7632,Burrows,Harrison Burrows,LB
1995-09-24,Sammie,168.0,7633,Szmodics,Sammie Szmodics,AM
2002-11-18,Joe,,7640,Taylor,Joe Taylor,CF
1996-08-10,Alex,191.0,7643,Palmer,Alex Palmer,GK
2002-05-23,Sam,,7646,Bell,Sam Bell,LW
1997-09-02,Jordan,188.0,7651,Storey,Jordan Storey,RCB
1994-12-02,Cauley,184.0,7658,Woodrow,Cauley Woodrow,CF
1996-02-11,Yakou,185.0,7686,Meite,Yakou Meite,LW
1992-08-09,Ben,186.0,7687,Wilson,Ben Wilson,GK
1995-12-20,Dominic,188.0,7688,Hyam,Dominic Hyam,RCB
1993-03-21,Jake,183.0,7691,Bidwell,Jake Bidwell,LB
1997-06-24,Gustavo,169.0,7696,Hamer,Gustavo Hamer,CM
1995-01-29,Jamie,180.0,7698,Allen,Jamie Allen,CM
2000-04-06,Josh,181.0,7700,Eccles,Josh Eccles,CM
1998-05-01,Callum,173.0,7702,O'Hare,Callum O'Hare,AM
2001-01-22,Fabio,178.0,7707,Tavares,Fabio Tavares,CF
1998-12-29,Harry,173.0,7710,Pickering,Harry Pickering,LB
2001-12-28,Tyrhys,170.0,7711,Dolan,Tyrhys Dolan,RW
1998-12-29,Mark,182.0,7714,Harris,Mark Harris,CF
2000-09-28,Zak,189.0,7729,Swanson,Zak Swanson,RB
2002-12-06,Josh,193.0,7766,Coburn,Josh Coburn,CF
2003-07-21,Abu,183.0,7801,Kamara,Abu Kamara,RW
2003-09-10,Djeidi,177.0,7851,Gassama,Djeidi Gassama,LW
1999-08-29,Giorgi,183.0,7914,Chakvetadze,Giorgi Chakvetadze,AM
1993-05-21,Curtis,183.0,7954,Nelson,Curtis Nelson,RCB
2002-04-27,Rubin,189.0,7955,Colwill,Rubin Colwill,AM
2002-05-06,Rohan,,7956,Luthra,Rohan Luthra,GK
2001-04-28,Nathanael,184.0,7963,Ogbeta,Nathanael Ogbeta,LB
1992-08-08,Kieffer,196.0,7966,Moore,Kieffer Moore,CF
1990-12-26,Aaron,178.0,8062,Ramsey,Aaron Ramsey,CM
1998-02-04,Maximilian,188.0,8093,Wober,Maximilian Wober,LCB
2000-07-25,Ousmane,189.0,8104,Diakite,Ousmane Diakite,DM
2001-03-03,Jack,185.0,8149,Vale,Jack Vale,CF
1992-05-24,Ryan,185.0,8151,Leonard,Ryan Leonard,CM
1997-12-17,Bambo,188.0,8171,Diaby,Bambo Diaby,RCB
2005-09-19,Emre,182.0,8175,Tezgel,Emre Tezgel,CF
1996-12-08,Joe,185.0,8182,Williams,Joe Williams,CM
2004-01-08,Oliver,180.0,8201,Arblaster,Oliver Arblaster,CM
2003-02-11,Mo,196.0,8222,Faal,Mo Faal,CF
1996-11-09,Kasey,182.0,8225,Palmer,Kasey Palmer,AM
1998-01-14,Ciaron,185.0,8231,Brown,Ciaron Brown,LB
2002-05-06,Ryley,187.0,8232,Towler,Ryley Towler,LCB
1999-04-23,Liam,178.0,8237,Cullen,Liam Cullen,CF
1999-12-17,Hayden,188.0,8255,Carter,Hayden Carter,RCB
2001-01-07,Morgan,183.0,8256,Whittaker,Morgan Whittaker,RW
1998-10-22,Harry,198.0,8257,Souttar,Harry Souttar,RCB
2004-07-02,Aidan,,8272,Francis-Clarke,Aidan Francis-Clarke,M
2002-05-10,Christian,184.0,8288,Saydee,Christian Saydee,CF
2002-12-17,William,,8293,Jarvis,William Jarvis,F
1999-12-14,Oliver,176.0,8307,Cooper,Oliver Cooper,AM
1998-12-31,Anthony,189.0,8386,Racioppi,Anthony Racioppi,GK
1993-11-11,Christian,185.0,8400,Fassnacht,Christian Fassnacht,RW
1998-02-21,Wilfried,189.0,8408,Kanga,Wilfried Kanga,CF
2001-01-01,Elijah,,8606,Dixon-Bonner,Elijah Dixon-Bonner,CM
1997-09-11,Marvin,174.0,8825,Mehlem,Marvin Mehlem,AM
1998-06-14,Svante,189.0,9032,Ingelsson,Svante Ingelsson,AM
2000-03-11,Kane,178.0,9225,Wilson,Kane Wilson,RB
1997-08-04,Mark,182.0,9226,Sykes,Mark Sykes,RM
1999-09-20,Luke,193.0,9227,McNally,Luke McNally,RCB
1999-07-14,Scott,174.0,9230,Twine,Scott Twine,AM
1993-06-17,Jak,187.0,9231,Alnwick,Jak Alnwick,GK
1996-01-15,Ebou,178.0,9233,Adams,Ebou Adams,CM
1996-01-31,Gavin,170.0,9234,Whyte,Gavin Whyte,RW
2002-05-13,Ollie,177.0,9235,Tanner,Ollie Tanner,RW
2003-10-03,Callum,190.0,9236,Doyle,Callum Doyle,LCB
2001-06-14,Jack,185.0,9242,Rudoni,Jack Rudoni,CM
1996-12-29,Oscar,182.0,9246,Estupinan,Oscar Estupinan,CF
1994-11-21,Liam,195.0,9249,Roberts,Liam Roberts,GK
1997-06-24,Kenneth,174.0,9258,Paal,Kenneth Paal,LB
1998-09-14,Viktor,187.0,9265,Johansson,Viktor Johansson,GK
1995-12-01,Josh,193.0,9266,Vickers,Josh Vickers,GK
1996-10-20,Wes,181.0,9274,Harding,Wes Harding,RCB
1997-05-01,Chiedozie,181.0,9280,Ogbene,Chiedozie Ogbene,RW
2000-12-25,Ismaila,183.0,9285,Coulibaly,Ismaila Coulibaly,CM
2000-05-10,Anthony,189.0,9288,Patterson,Anthony Patterson,GK
2002-03-18,Trai,180.0,9291,Hume,Trai Hume,RB
1994-11-21,Luke,174.0,9292,O'Nien,Luke O'Nien,RCB
2001-12-13,Dan,185.0,9294,Neil,Dan Neil,CM
1995-12-24,Lynden,173.0,9300,Gooch,Lynden Gooch,LB
1999-08-08,Harry,180.0,9302,Darling,Harry Darling,RCB
1997-01-10,Vakoun Issouf,184.0,9306,Bayo,Vakoun Issouf Bayo,CF
1996-08-19,Jack,184.0,9311,Whatmough,Jack Whatmough,RCB
1990-03-28,Joe,178.0,9315,Bennett,Joe Bennett,LB
1998-09-08,Callum,183.0,9325,Lang,Callum Lang,CF
1993-01-11,Will,188.0,9327,Keane,Will Keane,CF
1999-07-23,Victor,174.0,9331,da Silva,Vitinho,RB
2003-06-22,Sinclair,182.0,9334,Armstrong,Sinclair Armstrong,CF
2002-06-26,Hayden,178.0,9338,Hackney,Hayden Hackney,DM
2003-07-31,Abdoullah,180.0,9497,Ba,Abdoullah Ba,RM
2002-07-11,Andreas,190.0,9767,Hountondji,Andreas Hountondji,CF
2005-05-08,Eliezer,180.0,9774,Mayenda,Eliezer Mayenda,CF
1995-12-28,Joe,189.0,9792,Wildsmith,Joe Wildsmith,GK
1992-04-15,Nathaniel,178.0,9795,Mendez-Laing,Nathaniel Mendez-Laing,RW
2004-11-28,Wilson,182.0,9840,Odobert,Wilson Odobert,LW
2000-05-06,Ilia,185.0,9951,Gruev,Ilia Gruev,DM
2004-02-18,Darko,196.0,9987,Gyabi,Darko Gyabi,CM
1990-11-14,Vaclav,192.0,9994,Hladky,Vaclav Hladky,GK
1994-09-30,Greg,181.0,10001,Leigh,Greg Leigh,LB
2000-09-26,Idris,185.0,10005,El Mizouni,Idris El Mizouni,CM
1994-02-22,Kayden,181.0,10011,Jackson,Kayden Jackson,CF
1995-06-24,Dominic,188.0,10014,Iorfa,Dominic Iorfa,RCB
1992-11-20,Michael,185.0,10015,Ihiekwe,Michael Ihiekwe,RCB
1991-09-19,Liam,188.0,10018,Palmer,Liam Palmer,RB
1989-12-01,Barry,169.0,10020,Bannan,Barry Bannan,CM
1990-12-01,Marvin,178.0,10024,Johnson,Marvin Johnson,LM
1994-01-09,Josh,175.0,10025,Windass,Josh Windass,AM
1991-10-17,Michael,191.0,10028,Smith,Michael Smith,CF
1996-02-14,Connor,184.0,10034,Ogilvie,Connor Ogilvie,LB
1999-09-04,Jamie,185.0,10070,Cumming,Jamie Cumming,GK
1993-03-01,Josh,178.0,10081,Mceachran,Josh Mceachran,CM
1999-10-08,Michael,186.0,10094,Cooper,Michael Cooper,GK
1996-03-17,Brendan,186.0,10100,Galloway,Brendan Galloway,LB
2000-10-01,Adam,175.0,10103,Randell,Adam Randell,DM
2000-09-07,Finn,185.0,10106,Azaz,Finn Azaz,AM
1990-10-31,Joe,173.0,10108,Edwards,Joe Edwards,RM
1997-03-17,Ryan,188.0,10111,Hardie,Ryan Hardie,CF
1999-05-20,Niall,178.0,10112,Ennis,Niall Ennis,CF
1997-03-16,Elliott,196.0,10117,Moore,Elliott Moore,RCB
1995-01-16,Sam,180.0,10120,Long,Sam Long,RB
1996-05-09,Cameron,180.0,10121,Brannagan,Cameron Brannagan,CM
2001-01-09,Anis,180.0,10147,Mehmeti,Anis Mehmeti,LW
2001-02-18,Paddy,177.0,10306,Lane,Paddy Lane,LW
1999-11-19,Josh,178.0,10373,Key,Josh Key,RB
1997-03-23,Ben,182.0,10393,Stevenson,Ben Stevenson,CM
1998-12-29,Brandon,182.0,10450,Thomas-Asante,Brandon Thomas-Asante,CF
2003-12-22,Junior,,10485,Tchamadeu,Junior Tchamadeu,RB
2004-10-14,Gatlin,,10661,O'Donkor,Gatlin O'Donkor,CF
2003-08-07,Tyler,170.0,10662,Goodrham,Tyler Goodrham,RW
2000-03-01,Marcelino,173.0,10672,Núñez,Marcelino Núñez,CM
1997-03-28,Benson,166.0,10680,Manuel,Benson Manuel,RW
1993-11-19,Lawrence,194.0,10759,Vigouroux,Lawrence Vigouroux,GK
1997-09-10,Paul,175.0,10776,Smyth,Paul Smyth,RW
1998-01-17,Owen,186.0,10953,Moxon,Owen Moxon,CM
2002-01-03,Nathan,,11011,Broome,Nathan Broome,GK
2001-09-11,Andy,186.0,11036,Smith,Andy Smith,RCB
1997-01-26,Julio,180.0,11175,Pleguezuelo,Julio Pleguezuelo,RCB
2002-01-03,Million,179.0,11231,Manhoef,Million Manhoef,RW
1995-08-26,Sondre,174.0,11234,Tronstad,Sondre Tronstad,CM
2000-09-08,Milan,175.0,11249,Van Ewijk,Milan Van Ewijk,RB
2000-03-25,Ivor,187.0,11261,Pandur,Ivor Pandur,GK
2003-03-26,Ibrahim,188.0,11352,Cissoko,Ibrahim Cissoko,LW
2001-12-22,Nathan,182.0,11450,Tjoe A On,Nathan Tjoe A On,LB
2001-12-18,Kenzo,176.0,11456,Goudmijn,Kenzo Goudmijn,CM
1998-08-17,Andre,176.0,11705,Vidigal,Andre Vidigal,LW
1994-05-14,Manolis,168.0,12011,Siopis,Manolis Siopis,DM
1999-06-25,Abdulkadir,168.0,12018,Omur,Abdulkadir Omur,AM
1998-03-27,Haji,193.0,12183,Wright,Haji Wright,CF
1994-04-04,Dimitrios,189.0,12378,Goutas,Dimitrios Goutas,RCB
1999-06-24,Gianluca,187.0,12880,Frabotta,Gianluca Frabotta,LB
1999-06-17,Vinicius,187.0,13015,Souza,Vinicius Souza,DM
2004-09-15,Luca,175.0,13068,Koleosho,Luca Koleosho,LW
2000-07-19,Lewis,185.0,13079,Gibson,Lewis Gibson,LCB
1997-12-31,Tom,168.0,13081,Lowery,Tom Lowery,CM
1991-04-30,Victor,186.0,13090,Palsson,Victor Palsson,RCB
1999-07-25,Milutin,186.0,13265,Osmajic,Milutin Osmajic,CF
2002-09-24,Josh,172.0,13314,Thomas,Josh Thomas,CF
2001-06-03,Matty,180.0,13392,Jacob,Matty Jacob,LB
1999-08-25,Ephron,178.0,13395,Mason-Clark,Ephron Mason-Clark,LW
2000-05-02,Callum,182.0,13456,Wright,Callum Wright,CM
2003-08-20,Andre,180.0,13559,Brooks,Andre Brooks,CM
2000-11-07,Anass,176.0,13560,Zaroury,Anass Zaroury,LW
2003-11-05,Wilfried,170.0,13638,Gnonto,Wilfried Gnonto,RW
2005-04-21,Zack,,13659,Nelson,Zack Nelson,M
2004-03-10,Brad,188.0,13734,Hills,Brad Hills,RCB
2006-07-28,Frederick,177.0,13764,Issaka,Frederick Issaka,CF
2003-10-19,Mateo,185.0,13769,Joseph,Mateo Joseph,CF
2004-07-30,Zak,,13883,Johnson,Zak Johnson,RB
2001-03-16,Anis,188.0,14030,Slimane,Anis Slimane,CM
1999-09-27,Liam,181.0,14033,Millar,Liam Millar,LW
2005-05-13,Romain,,14066,Esse,Romain Esse,AM
2005-05-06,David,,14097,Ozoh,David Ozoh,DM
2007-06-18,Chris,177.0,14101,Rigg,Chris Rigg,CM
1994-07-19,Michael,188.0,14281,Frey,Michael Frey,CF
2004-07-02,Louie,176.0,15619,Marsh,Louie Marsh,CF
2000-09-03,Lyle,185.0,15620,Foster,Lyle Foster,CF
